main_category,sub_category,sub_type,used,updated_date,Column1
Health and Wellness,,chiropractor *,FALSE,2024-11-07,chiropractor
Health and Wellness,,dental_clinic,FALSE,2024-01-01,dental_clinic
Health and Wellness,,dentist,FALSE,2024-01-01,dentist
Health and Wellness,,doctor,FALSE,2024-01-01,doctor
Health and Wellness,,drugstore,FALSE,2024-01-01,drugstore
Health and Wellness,,hospital,FALSE,2024-01-01,hospital
Health and Wellness,,massage *,FALSE,2024-11-07,massage
Health and Wellness,,medical_lab *,FALSE,2024-11-07,medical_lab
Health and Wellness,,pharmacy,FALSE,2024-01-01,pharmacy
Health and Wellness,,physiotherapist,FALSE,2024-01-01,physiotherapist
Health and Wellness,,sauna *,FALSE,2024-11-07,sauna
Health and Wellness,,skin_care_clinic *,FALSE,2024-11-07,skin_care_clinic
Health and Wellness,,spa,FALSE,2024-01-01,spa
Health and Wellness,,tanning_studio *,FALSE,2024-11-07,tanning_studio
Health and Wellness,,wellness_center *,FALSE,2024-11-07,wellness_center
Health and Wellness,,yoga_studio *,FALSE,2024-11-07,yoga_studio
Housing,,apartment_building *,FALSE,2024-11-07,apartment_building
Housing,,apartment_complex *,FALSE,2024-11-07,apartment_complex
Housing,,condominium_complex *,FALSE,2024-11-07,condominium_complex
Housing,,housing_complex *,FALSE,2024-11-07,housing_complex
Lodging,,bed_and_breakfast,TRUE,2024-01-01,bed_and_breakfast
Lodging,,budget_japanese_inn *,FALSE,2024-11-07,budget_japanese_inn
Lodging,,campground,FALSE,2024-01-01,campground
Lodging,,camping_cabin,FALSE,2024-01-01,camping_cabin
Lodging,,cottage,TRUE,2024-01-01,cottage
Lodging,,extended_stay_hotel,FALSE,2024-01-01,extended_stay_hotel
Lodging,,farmstay,FALSE,2024-01-01,farmstay
Lodging,,guest_house,TRUE,2024-01-01,guest_house
Lodging,,hostel *,TRUE,2024-11-07,hostel
Lodging,,hotel *,TRUE,2024-11-07,hotel
Lodging,,inn *,TRUE,2024-11-07,inn
Lodging,,japanese_inn *,TRUE,2024-11-07,japanese_inn
Lodging,,lodging,FALSE,2024-01-01,lodging
Lodging,,mobile_home_park *,FALSE,2024-11-07,mobile_home_park
Lodging,,motel,FALSE,2024-01-01,motel
Lodging,,private_guest_room,TRUE,2024-01-01,private_guest_room
Lodging,,resort_hotel,TRUE,2024-01-01,resort_hotel
Lodging,,rv_park,FALSE,2024-01-01,rv_park
Natural Features,,beach *,TRUE,2024-11-07,beach
Places of Worship,,church,FALSE,2024-01-01,church
Places of Worship,,hindu_temple,FALSE,2024-01-01,hindu_temple
Places of Worship,,mosque,FALSE,2024-01-01,mosque
Places of Worship,,synagogue,FALSE,2024-01-01,synagogue
Services,,astrologer *,FALSE,2024-11-07,astrologer
Services,,barber_shop,FALSE,2024-01-01,barber_shop
Services,,beautician *,FALSE,2024-11-07,beautician
Services,,beauty_salon,FALSE,2024-01-01,beauty_salon
Services,,body_art_service *,FALSE,2024-11-07,body_art_service
Services,,catering_service *,FALSE,2024-11-07,catering_service
Services,,cemetery,FALSE,2024-01-01,cemetery
Services,,child_care_agency,FALSE,2024-01-01,child_care_agency
Services,,consultant,FALSE,2024-01-01,consultant
Services,,courier_service,FALSE,2024-01-01,courier_service
Services,,electrician,FALSE,2024-01-01,electrician
Services,,florist,FALSE,2024-01-01,florist
Services,,food_delivery *,FALSE,2024-11-07,food_delivery
Services,,foot_care *,FALSE,2024-11-07,foot_care
Services,,funeral_home,FALSE,2024-01-01,funeral_home
Services,,hair_care,FALSE,2024-01-01,hair_care
Services,,hair_salon,FALSE,2024-01-01,hair_salon
Services,,insurance_agency,FALSE,2024-01-01,insurance_agency
Services,,laundry *,FALSE,2024-11-07,laundry
Services,,lawyer,FALSE,2024-01-01,lawyer
Services,,locksmith,FALSE,2024-01-01,locksmith
Services,,makeup_artist *,FALSE,2024-11-07,makeup_artist
Services,,moving_company,FALSE,2024-01-01,moving_company
Services,,nail_salon *,FALSE,2024-11-07,nail_salon
Services,,painter,FALSE,2024-01-01,painter
Services,,plumber,FALSE,2024-01-01,plumber
Services,,psychic *,FALSE,2024-11-07,psychic
Services,,real_estate_agency,FALSE,2024-01-01,real_estate_agency
Services,,roofing_contractor,FALSE,2024-01-01,roofing_contractor
Services,,storage,FALSE,2024-01-01,storage
Services,,summer_camp_organizer *,FALSE,2024-11-07,summer_camp_organizer
Services,,tailor,FALSE,2024-01-01,tailor
Services,,telecommunications_service_provider,FALSE,2024-01-01,telecommunications_service_provider
