main_category,sub_category,sub_type,used,updated_date
Health and Wellness,,medical_lab,FALSE,2024-11-07
Health and Wellness,,pharmacy,FALSE,2024-01-01
Health and Wellness,,physiotherapist,FALSE,2024-01-01
Health and Wellness,,sauna,FALSE,2024-11-07
Health and Wellness,,skin_care_clinic,FALSE,2024-11-07
Health and Wellness,,spa,FALSE,2024-01-01
Health and Wellness,,tanning_studio,FALSE,2024-11-07
Health and Wellness,,wellness_center,FALSE,2024-11-07
Health and Wellness,,yoga_studio,FALSE,2024-11-07
Housing,,apartment_building,FALSE,2024-11-07
Housing,,apartment_complex,FALSE,2024-11-07
Housing,,condominium_complex,FALSE,2024-11-07
Housing,,housing_complex,FALSE,2024-11-07
Lodging,,bed_and_breakfast,TRUE,2024-01-01
Lodging,,budget_japanese_inn,FALSE,2024-11-07
Lodging,,campground,FALSE,2024-01-01
Lodging,,camping_cabin,FALSE,2024-01-01
Lodging,,cottage,TRUE,2024-01-01
Lodging,,extended_stay_hotel,FALSE,2024-01-01
Lodging,,farmstay,FALSE,2024-01-01
Lodging,,guest_house,TRUE,2024-01-01
Lodging,,hostel,TRUE,2024-11-07
Lodging,,hotel,TRUE,2024-11-07
Lodging,,inn,TRUE,2024-11-07
Lodging,,japanese_inn,TRUE,2024-11-07
Lodging,,lodging,FALSE,2024-01-01
Lodging,,mobile_home_park,FALSE,2024-11-07
Lodging,,motel,FALSE,2024-01-01
Lodging,,private_guest_room,TRUE,2024-01-01
Lodging,,resort_hotel,TRUE,2024-01-01
Lodging,,rv_park,FALSE,2024-01-01
Natural Features,,beach,TRUE,2024-11-07
Places of Worship,,church,FALSE,2024-01-01
Places of Worship,,hindu_temple,FALSE,2024-01-01
Places of Worship,,mosque,FALSE,2024-01-01
Places of Worship,,synagogue,FALSE,2024-01-01
Services,,astrologer,FALSE,2024-11-07
Services,,barber_shop,FALSE,2024-01-01
Services,,beautician,FALSE,2024-11-07
Services,,beauty_salon,FALSE,2024-01-01
Services,,body_art_service,FALSE,2024-11-07
Services,,catering_service,FALSE,2024-11-07
Services,,cemetery,FALSE,2024-01-01
Services,,child_care_agency,FALSE,2024-01-01
Services,,consultant,FALSE,2024-01-01
Services,,courier_service,FALSE,2024-01-01
Services,,electrician,FALSE,2024-01-01
Services,,florist,FALSE,2024-01-01
Services,,food_delivery,FALSE,2024-11-07
Services,,foot_care,FALSE,2024-11-07
Services,,funeral_home,FALSE,2024-01-01
Services,,hair_care,FALSE,2024-01-01
Services,,hair_salon,FALSE,2024-01-01
Services,,insurance_agency,FALSE,2024-01-01
Services,,laundry,FALSE,2024-11-07
Services,,lawyer,FALSE,2024-01-01
